dm2    sintheta    -2ln(L)
0.01 0.0003 215.747
0.0105056 0.0003 215.747
0.0110303 0.0003 215.747
0.0115811 0.0003 215.746
0.0121594 0.0003 215.746
0.0127667 0.0003 215.746
0.0134042 0.0003 215.746
0.0140736 0.0003 215.746
0.0147764 0.0003 215.746
0.0155144 0.0003 215.745
0.0162891 0.0003 215.745
0.0171026 0.0003 215.745
0.0179567 0.0003 215.745
0.0188534 0.0003 215.745
0.0197949 0.0003 215.744
0.0207835 0.0003 215.744
0.0218214 0.0003 215.744
0.0229111 0.0003 215.743
0.0240553 0.0003 215.743
0.0252566 0.0003 215.742
0.0265178 0.0003 215.742
0.0278421 0.0003 215.741
0.0292325 0.0003 215.74
0.0306924 0.0003 215.74
0.0322251 0.0003 215.739
0.0338344 0.0003 215.738
0.035524 0.0003 215.737
0.0372981 0.0003 215.736
0.0391607 0.0003 215.735
0.0411163 0.0003 215.733
0.0431696 0.0003 215.732
0.0453255 0.0003 215.73
0.047589 0.0003 215.729
0.0499655 0.0003 215.727
0.0524608 0.0003 215.725
0.0550806 0.0003 215.722
0.0578312 0.0003 215.72
0.0607193 0.0003 215.717
0.0637515 0.0003 215.714
0.0669352 0.0003 215.71
0.0702779 0.0003 215.706
0.0737875 0.0003 215.702
0.0774723 0.0003 215.698
0.0813412 0.0003 215.693
0.0854033 0.0003 215.687
0.0896683 0.0003 215.681
0.0941462 0.0003 215.674
0.0988478 0.0003 215.667
0.103784 0.0003 215.658
0.108967 0.0003 215.649
0.114409 0.0003 215.64
0.120122 0.0003 215.629
0.126121 0.0003 215.617
0.132419 0.0003 215.604
0.139032 0.0003 215.589
0.145975 0.0003 215.573
0.153265 0.0003 215.556
0.160919 0.0003 215.537
0.168955 0.0003 215.516
0.177392 0.0003 215.493
0.186251 0.0003 215.468
0.195552 0.0003 215.44
0.205318 0.0003 215.41
0.215571 0.0003 215.377
0.226337 0.0003 215.341
0.23764 0.0003 215.302
0.249507 0.0003 215.26
0.261967 0.0003 215.213
0.27505 0.0003 215.163
0.288785 0.0003 215.108
0.303207 0.0003 215.049
0.318349 0.0003 214.985
0.334247 0.0003 214.915
0.350939 0.0003 214.841
0.368464 0.0003 214.76
0.386865 0.0003 214.674
0.406185 0.0003 214.582
0.426469 0.0003 214.485
0.447766 0.0003 214.381
0.470127 0.0003 214.271
0.493605 0.0003 214.155
0.518255 0.0003 214.034
0.544136 0.0003 213.907
0.57131 0.0003 213.776
0.59984 0.0003 213.641
0.629796 0.0003 213.503
0.661247 0.0003 213.363
0.694269 0.0003 213.222
0.72894 0.0003 213.082
0.765342 0.0003 212.943
0.803563 0.0003 212.807
0.843692 0.0003 212.677
0.885825 0.0003 212.552
0.930062 0.0003 212.434
0.976508 0.0003 212.325
1.02527 0.0003 212.223
1.07647 0.0003 212.13
1.13023 0.0003 212.045
1.18668 0.0003 211.966
1.24594 0.0003 211.89
1.30816 0.0003 211.816
1.37349 0.0003 211.741
1.44208 0.0003 211.661
1.51409 0.0003 211.574
1.5897 0.0003 211.478
1.66909 0.0003 211.373
1.75244 0.0003 211.261
1.83996 0.0003 211.146
1.93184 0.0003 211.035
2.02832 0.0003 210.936
2.12961 0.0003 210.86
2.23596 0.0003 210.816
2.34762 0.0003 210.812
2.46486 0.0003 210.853
2.58795 0.0003 210.942
2.71719 0.0003 211.076
2.85289 0.0003 211.252
2.99535 0.0003 211.462
3.14494 0.0003 211.695
3.30199 0.0003 211.938
3.46689 0.0003 212.176
3.64003 0.0003 212.398
3.8218 0.0003 212.596
4.01266 0.0003 212.771
4.21305 0.0003 212.932
4.42344 0.0003 213.09
4.64435 0.0003 213.249
4.87628 0.0003 213.394
5.11979 0.0003 213.492
5.37547 0.0003 213.509
5.64392 0.0003 213.43
5.92577 0.0003 213.263
6.22169 0.0003 213.029
6.5324 0.0003 212.754
6.85862 0.0003 212.463
7.20113 0.0003 212.17
7.56075 0.0003 211.884
7.93832 0.0003 211.636
8.33475 0.0003 211.473
8.75098 0.0003 211.455
9.188 0.0003 211.656
9.64683 0.0003 212.071
10.1286 0.0003 212.554
10.6344 0.0003 212.934
11.1655 0.0003 213.081
11.7231 0.0003 212.977
12.3085 0.0003 212.728
12.9232 0.0003 212.303
13.5685 0.0003 212.009
14.2461 0.0003 211.97
14.9576 0.0003 212.106
15.7045 0.0003 212.312
16.4888 0.0003 212.557
17.3122 0.0003 212.571
18.1768 0.0003 212.43
19.0845 0.0003 212.328
20.0376 0.0003 212.213
21.0382 0.0003 212.227
22.0889 0.0003 212.344
23.1919 0.0003 212.505
24.3501 0.0003 212.464
25.5661 0.0003 212.292
26.8429 0.0003 212.26
28.1834 0.0003 212.336
29.5908 0.0003 212.376
31.0686 0.0003 212.422
32.6201 0.0003 212.323
34.2491 0.0003 212.354
35.9595 0.0003 212.256
37.7553 0.0003 212.4
39.6407 0.0003 212.364
41.6203 0.0003 212.233
43.6988 0.0003 212.435
45.8811 0.0003 212.307
48.1723 0.0003 212.366
50.578 0.0003 212.367
53.1038 0.0003 212.312
55.7557 0.0003 212.361
58.5401 0.0003 212.33
61.4635 0.0003 212.347
64.533 0.0003 212.332
67.7557 0.0003 212.346
71.1393 0.0003 212.38
74.6919 0.0003 212.28
78.422 0.0003 212.356
82.3383 0.0003 212.338
86.4502 0.0003 212.336
90.7674 0.0003 212.363
95.3002 0.0003 212.389
100 0.0003 212.371
0.01 0.0003133 215.747
0.0105056 0.0003133 215.747
0.0110303 0.0003133 215.746
0.0115811 0.0003133 215.746
0.0121594 0.0003133 215.746
0.0127667 0.0003133 215.746
0.0134042 0.0003133 215.746
0.0140736 0.0003133 215.746
0.0147764 0.0003133 215.746
0.0155144 0.0003133 215.745
0.0162891 0.0003133 215.745
0.0171026 0.0003133 215.745
0.0179567 0.0003133 215.745
0.0188534 0.0003133 215.744
0.0197949 0.0003133 215.744
0.0207835 0.0003133 215.744
0.0218214 0.0003133 215.743
0.0229111 0.0003133 215.743
0.0240553 0.0003133 215.742
0.0252566 0.0003133 215.742
0.0265178 0.0003133 215.741
0.0278421 0.0003133 215.741
0.0292325 0.0003133 215.74
0.0306924 0.0003133 215.739
0.0322251 0.0003133 215.738
0.0338344 0.0003133 215.738
0.035524 0.0003133 215.737
0.0372981 0.0003133 215.735
0.0391607 0.0003133 215.734
0.0411163 0.0003133 215.733
0.0431696 0.0003133 215.731
0.0453255 0.0003133 215.73
0.047589 0.0003133 215.728
0.0499655 0.0003133 215.726
0.0524608 0.0003133 215.724
0.0550806 0.0003133 215.721
0.0578312 0.0003133 215.718
0.0607193 0.0003133 215.715
0.0637515 0.0003133 215.712
0.0669352 0.0003133 215.709
0.0702779 0.0003133 215.705
0.0737875 0.0003133 215.7
0.0774723 0.0003133 215.695
0.0813412 0.0003133 215.69
0.0854033 0.0003133 215.684
0.0896683 0.0003133 215.678
0.0941462 0.0003133 215.671
0.0988478 0.0003133 215.663
0.103784 0.0003133 215.655
0.108967 0.0003133 215.645
0.114409 0.0003133 215.635
0.120122 0.0003133 215.623
0.126121 0.0003133 215.611
0.132419 0.0003133 215.597
0.139032 0.0003133 215.582
0.145975 0.0003133 215.566
0.153265 0.0003133 215.548
0.160919 0.0003133 215.528
0.168955 0.0003133 215.506
0.177392 0.0003133 215.482
0.186251 0.0003133 215.456
0.195552 0.0003133 215.427
0.205318 0.0003133 215.396
0.215571 0.0003133 215.361
0.226337 0.0003133 215.324
0.23764 0.0003133 215.283
0.249507 0.0003133 215.238
0.261967 0.0003133 215.19
0.27505 0.0003133 215.137
0.288785 0.0003133 215.08
0.303207 0.0003133 215.018
0.318349 0.0003133 214.952
0.334247 0.0003133 214.879
0.350939 0.0003133 214.802
0.368464 0.0003133 214.718
0.386865 0.0003133 214.628
0.406185 0.0003133 214.533
0.426469 0.0003133 214.431
0.447766 0.0003133 214.322
0.470127 0.0003133 214.208
0.493605 0.0003133 214.088
0.518255 0.0003133 213.961
0.544136 0.0003133 213.83
0.57131 0.0003133 213.694
0.59984 0.0003133 213.554
0.629796 0.0003133 213.41
0.661247 0.0003133 213.265
0.694269 0.0003133 213.119
0.72894 0.0003133 212.973
0.765342 0.0003133 212.829
0.803563 0.0003133 212.689
0.843692 0.0003133 212.554
0.885825 0.0003133 212.426
0.930062 0.0003133 212.305
0.976508 0.0003133 212.192
1.02527 0.0003133 212.089
1.07647 0.0003133 211.994
1.13023 0.0003133 211.907
1.18668 0.0003133 211.827
1.24594 0.0003133 211.75
1.30816 0.0003133 211.675
1.37349 0.0003133 211.599
1.44208 0.0003133 211.518
1.51409 0.0003133 211.429
1.5897 0.0003133 211.33
1.66909 0.0003133 211.222
1.75244 0.0003133 211.106
1.83996 0.0003133 210.987
1.93184 0.0003133 210.871
2.02832 0.0003133 210.767
2.12961 0.0003133 210.686
2.23596 0.0003133 210.638
2.34762 0.0003133 210.632
2.46486 0.0003133 210.672
2.58795 0.0003133 210.762
2.71719 0.0003133 210.9
2.85289 0.0003133 211.081
2.99535 0.0003133 211.297
3.14494 0.0003133 211.538
3.30199 0.0003133 211.79
3.46689 0.0003133 212.036
3.64003 0.0003133 212.266
3.8218 0.0003133 212.471
4.01266 0.0003133 212.652
4.21305 0.0003133 212.82
4.42344 0.0003133 212.984
4.64435 0.0003133 213.151
4.87628 0.0003133 213.302
5.11979 0.0003133 213.404
5.37547 0.0003133 213.422
5.64392 0.0003133 213.34
5.92577 0.0003133 213.165
6.22169 0.0003133 212.922
6.5324 0.0003133 212.637
6.85862 0.0003133 212.335
7.20113 0.0003133 212.032
7.56075 0.0003133 211.737
7.93832 0.0003133 211.48
8.33475 0.0003133 211.31
8.75098 0.0003133 211.289
9.188 0.0003133 211.496
9.64683 0.0003133 211.925
10.1286 0.0003133 212.427
10.6344 0.0003133 212.822
11.1655 0.0003133 212.974
11.7231 0.0003133 212.866
12.3085 0.0003133 212.608
12.9232 0.0003133 212.168
13.5685 0.0003133 211.864
14.2461 0.0003133 211.822
14.9576 0.0003133 211.962
15.7045 0.0003133 212.175
16.4888 0.0003133 212.43
17.3122 0.0003133 212.445
18.1768 0.0003133 212.298
19.0845 0.0003133 212.192
20.0376 0.0003133 212.074
21.0382 0.0003133 212.087
22.0889 0.0003133 212.21
23.1919 0.0003133 212.376
24.3501 0.0003133 212.334
25.5661 0.0003133 212.156
26.8429 0.0003133 212.121
28.1834 0.0003133 212.201
29.5908 0.0003133 212.242
31.0686 0.0003133 212.289
32.6201 0.0003133 212.188
34.2491 0.0003133 212.219
35.9595 0.0003133 212.118
37.7553 0.0003133 212.267
39.6407 0.0003133 212.229
41.6203 0.0003133 212.094
43.6988 0.0003133 212.304
45.8811 0.0003133 212.172
48.1723 0.0003133 212.232
50.578 0.0003133 212.233
53.1038 0.0003133 212.176
55.7557 0.0003133 212.227
58.5401 0.0003133 212.195
61.4635 0.0003133 212.212
64.533 0.0003133 212.196
67.7557 0.0003133 212.212
71.1393 0.0003133 212.247
74.6919 0.0003133 212.143
78.422 0.0003133 212.221
82.3383 0.0003133 212.203
86.4502 0.0003133 212.201
90.7674 0.0003133 212.229
95.3002 0.0003133 212.256
100 0.0003133 212.237
0.01 0.00032704 215.747
0.0105056 0.00032704 215.747
0.0110303 0.00032704 215.746
0.0115811 0.00032704 215.746
0.0121594 0.00032704 215.746
0.0127667 0.00032704 215.746
0.0134042 0.00032704 215.746
0.0140736 0.00032704 215.746
0.0147764 0.00032704 215.746
0.0155144 0.00032704 215.745
0.0162891 0.00032704 215.745
0.0171026 0.00032704 215.745
0.0179567 0.00032704 215.745
0.0188534 0.00032704 215.744
0.0197949 0.00032704 215.744
0.0207835 0.00032704 215.744
0.0218214 0.00032704 215.743
0.0229111 0.00032704 215.743
0.0240553 0.00032704 215.742
0.0252566 0.00032704 215.742
0.0265178 0.00032704 215.741
0.0278421 0.00032704 215.74
0.0292325 0.00032704 215.74
0.0306924 0.00032704 215.739
0.0322251 0.00032704 215.738
0.0338344 0.00032704 215.737
0.035524 0.00032704 215.736
0.0372981 0.00032704 215.735
0.0391607 0.00032704 215.734
0.0411163 0.00032704 215.732
0.0431696 0.00032704 215.731
0.0453255 0.00032704 215.729
0.047589 0.00032704 215.727
0.0499655 0.00032704 215.725
0.0524608 0.00032704 215.723
0.0550806 0.00032704 215.72
0.0578312 0.00032704 215.717
0.0607193 0.00032704 215.714
0.0637515 0.00032704 215.711
0.0669352 0.00032704 215.707
0.0702779 0.00032704 215.703
0.0737875 0.00032704 215.698
0.0774723 0.00032704 215.693
0.0813412 0.00032704 215.688
0.0854033 0.00032704 215.682
0.0896683 0.00032704 215.675
0.0941462 0.00032704 215.668
0.0988478 0.00032704 215.659
0.103784 0.00032704 215.65
0.108967 0.00032704 215.641
0.114409 0.00032704 215.63
0.120122 0.00032704 215.618
0.126121 0.00032704 215.605
0.132419 0.00032704 215.591
0.139032 0.00032704 215.575
0.145975 0.00032704 215.558
0.153265 0.00032704 215.539
0.160919 0.00032704 215.518
0.168955 0.00032704 215.495
0.177392 0.00032704 215.47
0.186251 0.00032704 215.443
0.195552 0.00032704 215.413
0.205318 0.00032704 215.38
0.215571 0.00032704 215.344
0.226337 0.00032704 215.305
0.23764 0.00032704 215.263
0.249507 0.00032704 215.216
0.261967 0.00032704 215.166
0.27505 0.00032704 215.111
0.288785 0.00032704 215.051
0.303207 0.00032704 214.987
0.318349 0.00032704 214.917
0.334247 0.00032704 214.842
0.350939 0.00032704 214.761
0.368464 0.00032704 214.674
0.386865 0.00032704 214.58
0.406185 0.00032704 214.481
0.426469 0.00032704 214.374
0.447766 0.00032704 214.262
0.470127 0.00032704 214.143
0.493605 0.00032704 214.017
0.518255 0.00032704 213.886
0.544136 0.00032704 213.75
0.57131 0.00032704 213.608
0.59984 0.00032704 213.462
0.629796 0.00032704 213.314
0.661247 0.00032704 213.163
0.694269 0.00032704 213.011
0.72894 0.00032704 212.861
0.765342 0.00032704 212.712
0.803563 0.00032704 212.567
0.843692 0.00032704 212.428
0.885825 0.00032704 212.296
0.930062 0.00032704 212.171
0.976508 0.00032704 212.056
1.02527 0.00032704 211.95
1.07647 0.00032704 211.854
1.13023 0.00032704 211.765
1.18668 0.00032704 211.684
1.24594 0.00032704 211.607
1.30816 0.00032704 211.531
1.37349 0.00032704 211.454
1.44208 0.00032704 211.371
1.51409 0.00032704 211.281
1.5897 0.00032704 211.18
1.66909 0.00032704 211.069
1.75244 0.00032704 210.949
1.83996 0.00032704 210.824
1.93184 0.00032704 210.703
2.02832 0.00032704 210.594
2.12961 0.00032704 210.508
2.23596 0.00032704 210.456
2.34762 0.00032704 210.447
2.46486 0.00032704 210.487
2.58795 0.00032704 210.578
2.71719 0.00032704 210.719
2.85289 0.00032704 210.905
2.99535 0.00032704 211.128
3.14494 0.00032704 211.377
3.30199 0.00032704 211.636
