#average flux in [cosZ = 0.90 --  1.00, phi_Az =   0 -- 360]
 Enu(GeV)   NuMu       NuMubar    NuE        NuEbar  (m^2 sec sr GeV)^-1
 1.9953E+02 2.8812E-05 1.8876E-05 1.3708E-06 1.1129E-06
 2.2387E+02 2.0045E-05 1.3084E-05 9.3644E-07 7.5188E-07
 2.5119E+02 1.3923E-05 9.0480E-06 6.2898E-07 5.0881E-07
 2.8184E+02 9.6697E-06 6.2320E-06 4.2766E-07 3.3844E-07
 3.1623E+02 6.7298E-06 4.3099E-06 2.8990E-07 2.3083E-07
 3.5481E+02 4.6450E-06 2.9509E-06 1.9540E-07 1.5569E-07
 3.9811E+02 3.2125E-06 2.0315E-06 1.3206E-07 1.0468E-07
 4.4668E+02 2.2197E-06 1.3951E-06 8.9084E-08 7.0709E-08
 5.0119E+02 1.5301E-06 9.5665E-07 6.0251E-08 4.7143E-08
 5.6234E+02 1.0594E-06 6.5799E-07 4.0415E-08 3.1312E-08
 6.3096E+02 7.2171E-07 4.4563E-07 2.7102E-08 2.0859E-08
 7.0795E+02 4.9481E-07 3.0291E-07 1.8296E-08 1.3908E-08
 7.9433E+02 3.3862E-07 2.0614E-07 1.2147E-08 9.2536E-09
 8.9125E+02 2.3158E-07 1.4030E-07 8.1121E-09 6.2124E-09
 1.0000E+03 1.5896E-07 9.5844E-08 5.4377E-09 4.1575E-09
 1.1220E+03 1.0650E-07 6.4091E-08 3.5731E-09 2.6954E-09
 1.2589E+03 7.2140E-08 4.3213E-08 2.4093E-09 1.7967E-09
 1.4125E+03 4.8778E-08 2.8988E-08 1.6055E-09 1.1995E-09
 1.5849E+03 3.2840E-08 1.9456E-08 1.0487E-09 7.9055E-10
 1.7783E+03 2.2154E-08 1.3083E-08 7.0454E-10 5.1556E-10
 1.9953E+03 1.4841E-08 8.7237E-09 4.7305E-10 3.4158E-10
 2.2387E+03 9.9356E-09 5.7836E-09 3.1375E-10 2.2291E-10
 2.5119E+03 6.6476E-09 3.8582E-09 2.0575E-10 1.4782E-10
 2.8184E+03 4.4238E-09 2.5591E-09 1.3475E-10 9.8100E-11
 3.1623E+03 3.0311E-09 1.7474E-09 8.8674E-11 6.3866E-11
 3.5481E+03 1.9562E-09 1.1181E-09 5.8517E-11 4.2206E-11
 3.9811E+03 1.2951E-09 7.3915E-10 3.8153E-11 2.7960E-11
 4.4668E+03 8.5596E-10 4.8930E-10 2.4530E-11 1.8148E-11
 5.0119E+03 5.6552E-10 3.2135E-10 1.6015E-11 1.1730E-11
 5.6234E+03 3.7420E-10 2.1103E-10 1.0881E-11 7.7643E-12
 6.3096E+03 2.4639E-10 1.3869E-10 7.1447E-12 5.0979E-12
 7.0795E+03 1.6298E-10 9.0866E-11 4.5951E-12 3.2571E-12
 7.9433E+03 1.0719E-10 5.9289E-11 3.0272E-12 2.0832E-12
 8.9125E+03 7.0086E-11 3.8720E-11 2.0601E-12 1.3711E-12
 1.0000E+04 4.6163E-11 2.5481E-11 1.3182E-12 9.1832E-13
#average flux in [cosZ = 0.80 --  0.90, phi_Az =   0 -- 360]
 Enu(GeV)   NuMu       NuMubar    NuE        NuEbar  (m^2 sec sr GeV)^-1
 1.0000E-01 6.9049E+03 7.0026E+03 3.3473E+03 3.3379E+03
 1.1220E-01 6.2547E+03 6.3308E+03 3.0353E+03 2.9949E+03
 1.2589E-01 5.6320E+03 5.6852E+03 2.7201E+03 2.6579E+03
 1.4125E-01 5.0264E+03 5.0633E+03 2.4115E+03 2.3362E+03
 1.5849E-01 4.4342E+03 4.4657E+03 2.1168E+03 2.0301E+03
 1.7783E-01 3.8699E+03 3.8868E+03 1.8434E+03 1.7478E+03
 1.9953E-01 3.3369E+03 3.3368E+03 1.5914E+03 1.4935E+03
 2.2387E-01 2.8392E+03 2.8320E+03 1.3570E+03 1.2610E+03
 2.5119E-01 2.3900E+03 2.3753E+03 1.1443E+03 1.0500E+03
 2.8184E-01 1.9894E+03 1.9720E+03 9.5534E+02 8.6612E+02
 3.1623E-01 1.6367E+03 1.6198E+03 7.8849E+02 7.0739E+02
 3.5481E-01 1.3343E+03 1.3143E+03 6.4316E+02 5.7046E+02
 3.9811E-01 1.0774E+03 1.0558E+03 5.1837E+02 4.5481E+02
 4.4668E-01 8.6103E+02 8.4141E+02 4.1427E+02 3.5906E+02
 5.0119E-01 6.8302E+02 6.6327E+02 3.2769E+02 2.8094E+02
 5.6234E-01 5.3647E+02 5.1801E+02 2.5623E+02 2.1798E+02
 6.3096E-01 4.1720E+02 4.0096E+02 1.9830E+02 1.6724E+02
 7.0795E-01 3.2260E+02 3.0814E+02 1.5237E+02 1.2720E+02
 7.9433E-01 2.4748E+02 2.3563E+02 1.1596E+02 9.5671E+01
 8.9125E-01 1.8880E+02 1.7812E+02 8.7491E+01 7.1433E+01
 1.0000E+00 1.4337E+02 1.3411E+02 6.5555E+01 5.2958E+01
 1.1220E+00 1.0827E+02 1.0041E+02 4.8507E+01 3.8950E+01
 1.2589E+00 8.1452E+01 7.4686E+01 3.5678E+01 2.8457E+01
 1.4125E+00 6.0975E+01 5.5415E+01 2.6104E+01 2.0642E+01
 1.5849E+00 4.5462E+01 4.0832E+01 1.8876E+01 1.4903E+01
 1.7783E+00 3.3655E+01 2.9885E+01 1.3560E+01 1.0656E+01
 1.9953E+00 2.4808E+01 2.1827E+01 9.6975E+00 7.5507E+00
 2.2387E+00 1.8222E+01 1.5871E+01 6.9076E+00 5.3327E+00
 2.5119E+00 1.3324E+01 1.1485E+01 4.8788E+00 3.7473E+00
 2.8184E+00 9.7238E+00 8.2698E+00 3.4021E+00 2.6080E+00
 3.1623E+00 7.0927E+00 5.9610E+00 2.3712E+00 1.8159E+00
 3.5481E+00 5.1542E+00 4.2760E+00 1.6418E+00 1.2530E+00
 3.9811E+00 3.7333E+00 3.0624E+00 1.1302E+00 8.6271E-01
 4.4668E+00 2.6987E+00 2.1967E+00 7.7675E-01 5.9116E-01
 5.0119E+00 1.9460E+00 1.5677E+00 5.3066E-01 4.0164E-01
 5.6234E+00 1.4005E+00 1.1186E+00 3.6069E-01 2.7167E-01
 6.3096E+00 1.0059E+00 7.9804E-01 2.4417E-01 1.8510E-01
 7.0795E+00 7.2022E-01 5.6522E-01 1.6512E-01 1.2563E-01
 7.9433E+00 5.1567E-01 4.0161E-01 1.1135E-01 8.4515E-02
 8.9125E+00 3.6981E-01 2.8481E-01 7.4563E-02 5.7109E-02
 1.0000E+01 2.6320E-01 2.0178E-01 4.9813E-02 3.7863E-02
 1.1220E+01 1.8768E-01 1.4313E-01 3.3380E-02 2.5364E-02
 1.2589E+01 1.3355E-01 1.0137E-01 2.2258E-02 1.6960E-02
 1.4125E+01 9.5060E-02 7.1603E-02 1.4774E-02 1.1305E-02
 1.5849E+01 6.7745E-02 5.0728E-02 9.8260E-03 7.5575E-03
 1.7783E+01 4.8135E-02 3.5925E-02 6.5642E-03 5.0439E-03
 1.9953E+01 3.4127E-02 2.5333E-02 4.4117E-03 3.3537E-03
 2.2387E+01 2.4316E-02 1.7885E-02 2.9283E-03 2.2176E-03
 2.5119E+01 1.7250E-02 1.2595E-02 1.9262E-03 1.4860E-03
 2.8184E+01 1.2223E-02 8.9006E-03 1.2833E-03 1.0116E-03
 3.1623E+01 8.6697E-03 6.2895E-03 8.5335E-04 6.7103E-04
 3.5481E+01 6.1308E-03 4.4260E-03 5.6888E-04 4.4972E-04
 3.9811E+01 4.3320E-03 3.1119E-03 3.7960E-04 3.0012E-04
 4.4668E+01 3.0549E-03 2.1849E-03 2.5340E-04 2.0214E-04
