# MicroBooNE BNB flux
# Based on MCC9_FluxHist_volTPCActive.root
# scaled to nu/POT/bin/cm2 
# BinMid    Nue NuMu    Nutau   NuEbar  NuMuBar nuTauBar
3.525   3.069e-15   1.49892e-13 0.0 3.8195e-16  1.25306e-15 0.0
3.575   2.86797e-15 1.43948e-13 0.0 3.14941e-16 4.15454e-16 0.0
3.625   2.94838e-15 1.35043e-13 0.0 3.95352e-16 4.69061e-16 0.0
3.675   2.41231e-15 1.3582e-13  0.0 2.74736e-16 6.23181e-16 0.0
3.725   2.77416e-15 1.25105e-13 0.0 3.61847e-16 6.49985e-16 0.0
3.775   2.03707e-15 1.22753e-13 0.0 3.28343e-16 6.1648e-16  0.0
3.825   1.81594e-15 1.17486e-13 0.0 1.80924e-16 1.74223e-16 0.0
3.875   1.72212e-15 1.1289e-13  0.0 2.41231e-16 4.89164e-16 0.0
3.925   1.46749e-15 1.08226e-13 0.0 2.74736e-16 2.54633e-16 0.0
3.975   1.46749e-15 1.03267e-13 0.0 2.2783e-16  2.07727e-16 0.0
4.025   1.23296e-15 9.73503e-14 0.0 1.40718e-16 1.60821e-16 0.0
4.075   1.14585e-15 9.13932e-14 0.0 1.20616e-16 4.69061e-17 0.0
4.125   1.12575e-15 8.9584e-14  0.0 1.40718e-16 1.20616e-16 0.0
4.175   1.09894e-15 8.61062e-14 0.0 1.27317e-16 4.82463e-16 0.0
4.225   9.71627e-16 8.05981e-14 0.0 1.07214e-16 1.34017e-16 0.0
4.275   8.10806e-16 7.89765e-14 0.0 8.71114e-17 7.37096e-17 0.0
4.325   7.84002e-16 7.2222e-14  0.0 8.04105e-17 4.69061e-17 0.0
4.375   7.77301e-16 6.74577e-14 0.0 8.04105e-17 8.71114e-17 0.0
4.425   9.04618e-16 6.8034e-14  0.0 5.3607e-17  8.04105e-17 0.0
4.475   5.22668e-16 6.36985e-14 0.0 4.69061e-17 4.02052e-17 0.0
4.525   4.82463e-16 5.85388e-14 0.0 4.02052e-17 4.02052e-17 0.0
4.575   5.22668e-16 5.62672e-14 0.0 7.37096e-17 2.01026e-17 0.0
4.625   4.22155e-16 5.31513e-14 0.0 3.35044e-17 1.34017e-17 0.0
4.675   3.41745e-16 5.05514e-14 0.0 5.3607e-17  2.68035e-17 0.0
4.725   2.34531e-16 4.97205e-14 0.0 4.69061e-17 0   0.0
4.775   3.01539e-16 4.58742e-14 0.0 4.02052e-17 4.22155e-16 0.0
4.825   2.21129e-16 4.1981e-14  0.0 2.01026e-17 1.34017e-17 0.0
4.875   2.61334e-16 3.95553e-14 0.0 4.02052e-17 6.70087e-18 0.0
4.925   2.81437e-16 3.73574e-14 0.0 2.68035e-17 0   0.0
4.975   1.27317e-16 3.47105e-14 0.0 0   6.70087e-18 0.0
5.025   1.87624e-16 3.30554e-14 0.0 4.69061e-17 0   0.0
5.075   2.07727e-16 3.21106e-14 0.0 6.70087e-18 6.70087e-18 0.0
5.125   1.07214e-16 2.98658e-14 0.0 3.35044e-17 6.70087e-18 0.0
5.175   6.03079e-17 2.76009e-14 0.0 1.34017e-17 0   0.0
5.225   8.04105e-17 2.54834e-14 0.0 1.34017e-17 0   0.0
5.275   5.3607e-17  2.46927e-14 0.0 3.35044e-17 1.34017e-17 0.0
5.325   3.35044e-17 2.37211e-14 0.0 6.70087e-18 0   0.0
5.375   4.69061e-17 2.11949e-14 0.0 1.34017e-17 0   0.0
5.425   4.69061e-17 2.01763e-14 0.0 1.34017e-17 6.70087e-18 0.0
5.475   4.69061e-17 1.91444e-14 0.0 2.68035e-17 0   0.0
