# Enu(GeV) Events/MeV
2.49529556e-1 4.73044721e+0
3.36831154e-1 3.68292518e+0
4.24202378e-1 3.26620915e+0
5.12182419e-1 2.36537810e+0
6.12131549e-1 1.90449853e+0
7.37242970e-1 1.41397149e+0
8.75628551e-1 1.18734086e+0
1.02460637e+0 9.26350915e-1
1.20006774e+0 6.06357499e-1
1.40070867e+0 4.13195630e-1
2.25 6.35547538e-2
