538
0 7 32.892705
0  14 0 0 0 0 0 0 1.354184 1.354184 0 185.78185 4.3489194 -14.128974 0
0  2212 0 0 0 0 -0 -0 1.110223e-16 0.93827209 0.93827209 185.78185 4.3489194 -14.128974 0
0  5915 0 0 0 0 -0.083392385 -0.039638726 1.2758854 1.346406 0.42 185.78185 4.3489194 -14.128974 0
0  2212 0 0 0 0 0.083392385 0.039638726 0.078298542 0.94605005 0.93827209 185.78185 4.3489194 -14.128974 0
0  5910 0 0 0 0 0.036168009 0.13680534 0.17685942 0.22650184 nan 185.78185 4.3489194 -14.128974 0
1  11 0 0 0 0 -0.080819599 -0.095417996 0.67203785 0.68357262 0.00051099895 185.78185 4.3489194 -14.128974 0
1  -11 0 0 0 0 -0.038740796 -0.081026073 0.42698814 0.43633154 0.00051099895 185.78185 4.3489194 -14.128974 0
1 7 0.069076476
0  14 0 0 0 0 0 0 0.70045695 0.70045695 0 70.830783 -231.07032 -310.79711 0
0  2212 0 0 0 0 -0 -0 -2.7755576e-16 0.93827209 0.93827209 70.830783 -231.07032 -310.79711 0
0  5915 0 0 0 0 -0.0066097767 -0.067811562 0.53496337 0.68354071 0.42 70.830783 -231.07032 -310.79711 0
0  2212 0 0 0 0 0.0066097767 0.067811562 0.16549358 0.95518832 0.93827209 70.830783 -231.07032 -310.79711 0
0  5910 0 0 0 0 0.16514906 0.072125181 0.34882859 0.39262913 nan 70.830783 -231.07032 -310.79711 0
1  11 0 0 0 0 -0.13627857 -0.10321753 0.15706568 0.23215425 0.00051099895 70.830783 -231.07032 -310.79711 0
1  -11 0 0 0 0 -0.035480266 -0.036719212 0.029069104 0.058757329 0.00051099895 70.830783 -231.07032 -310.79711 0
2 7 4.3411984
0  14 0 0 0 0 0 0 2.717799 2.717799 0 -137.86211 526.74861 -58.32397 0
0  2212 0 0 0 0 -0 -0 -2.220446e-16 0.93827209 0.93827209 -137.86211 526.74861 -58.32397 0
0  5915 0 0 0 0 0.048614235 0.0059890857 2.6827483 2.7158677 0.42 -137.86211 526.74861 -58.32397 0
0  2212 0 0 0 0 -0.048614235 -0.0059890857 0.035050681 0.94020332 0.93827209 -137.86211 526.74861 -58.32397 0
0  5910 0 0 0 0 -0.13709211 0.13621903 1.3116161 1.3257778 2.5809568e-08 -137.86211 526.74861 -58.32397 0
1  11 0 0 0 0 0.11797738 -0.07699549 0.76460646 0.77747686 0.00051099895 -137.86211 526.74861 -58.32397 0
1  -11 0 0 0 0 0.067728967 -0.053234457 0.60652567 0.61261307 0.00051099895 -137.86211 526.74861 -58.32397 0
3 7 0.017254266
0  14 0 0 0 0 0 0 1.5261225 1.5261225 0 -142.51705 435.56657 126.06046 0
0  2212 0 0 0 0 -0 -0 0 0.93827209 0.93827209 -142.51705 435.56657 126.06046 0
0  5915 0 0 0 0 0.46580066 0.073525561 1.2147647 1.369098 0.42 -142.51705 435.56657 126.06046 0
0  2212 0 0 0 0 -0.46580066 -0.073525561 0.31135781 1.0952965 0.93827209 -142.51705 435.56657 126.06046 0
