# Enu(GeV) Events/MeV
2.49590006e-1 5.27812373e+0
3.36867856e-1 4.01544307e+0
4.24895933e-1 3.54981926e+0
5.12206167e-1 2.58053674e+0
6.11490348e-1 2.09521541e+0
7.36596911e-1 1.56067866e+0
8.74321321e-1 1.34383606e+0
1.02461878e+0 1.03882020e+0
1.20008015e+0 7.18826785e-1
1.40005667e+0 5.06113136e-1
2.25 1.12462539e-1

