# Enu(GeV) Events/MeV
4.79164370e-1 4.46475887e+0
4.89073869e-1 4.00410855e+0
4.89626774e-1 3.45580911e+0
5.14794381e-1 2.95551347e+0
5.26189107e-1 5.05218341e+0
5.47865488e-1 2.38620433e+0
5.82769106e-1 5.62747694e+0
5.83397245e-1 1.72879420e+0
6.09823295e-1 1.03502350e+0
6.46163941e-1 6.23262989e+0
7.38466333e-1 6.95056876e+0
