                        Flux (/cm^2/1E21p.o.t/50MeV)
Bin#    Energy (GeV)    numu            anti-numu       nue             anti-nue
81       4.00- 4.05     1.81e+03        2.74e+03        1.08e+02        1.06e+02
82       4.05- 4.10     1.61e+03        2.57e+03        1.03e+02        1.04e+02
83       4.10- 4.15     1.62e+03        2.58e+03        1.03e+02        9.58e+01
84       4.15- 4.20     1.56e+03        2.50e+03        9.63e+01        9.06e+01
85       4.20- 4.25     1.60e+03        2.53e+03        9.49e+01        8.69e+01
86       4.25- 4.30     1.48e+03        2.58e+03        9.87e+01        8.34e+01
87       4.30- 4.35     1.44e+03        2.27e+03        9.11e+01        8.19e+01
88       4.35- 4.40     1.38e+03        2.23e+03        8.82e+01        7.86e+01
89       4.40- 4.45     1.49e+03        2.19e+03        8.63e+01        7.53e+01
90       4.45- 4.50     1.34e+03        2.13e+03        8.11e+01        7.03e+01
91       4.50- 4.55     1.40e+03        2.01e+03        7.73e+01        6.32e+01
92       4.55- 4.60     1.31e+03        2.00e+03        7.36e+01        6.10e+01
93       4.60- 4.65     1.27e+03        1.86e+03        7.26e+01        6.09e+01
94       4.65- 4.70     1.22e+03        1.72e+03        7.09e+01        6.40e+01
95       4.70- 4.75     1.28e+03        1.64e+03        7.50e+01        5.46e+01
96       4.75- 4.80     1.27e+03        1.69e+03        6.68e+01        5.33e+01
97       4.80- 4.85     1.15e+03        1.57e+03        6.29e+01        4.81e+01
98       4.85- 4.90     1.21e+03        1.47e+03        6.91e+01        4.86e+01
99       4.90- 4.95     1.07e+03        1.34e+03        6.11e+01        5.50e+01
100      4.95- 5.00     1.15e+03        1.31e+03        6.32e+01        5.03e+01
101      5.00- 5.05     1.14e+03        1.26e+03        5.81e+01        4.44e+01
102      5.05- 5.10     9.81e+02        1.24e+03        5.83e+01        4.37e+01
103      5.10- 5.15     9.99e+02        1.18e+03        5.50e+01        4.16e+01
104      5.15- 5.20     1.13e+03        1.12e+03        5.08e+01        3.94e+01
105      5.20- 5.25     9.24e+02        1.06e+03        5.32e+01        3.92e+01
106      5.25- 5.30     9.67e+02        1.02e+03        4.89e+01        3.53e+01
107      5.30- 5.35     7.83e+02        1.02e+03        4.66e+01        3.40e+01
108      5.35- 5.40     9.41e+02        8.94e+02        4.97e+01        3.50e+01
109      5.40- 5.45     9.59e+02        8.44e+02        4.48e+01        3.06e+01
110      5.45- 5.50     8.45e+02        8.39e+02        4.02e+01        3.11e+01
111      5.50- 5.55     8.14e+02        7.61e+02        4.23e+01        2.91e+01
112      5.55- 5.60     8.71e+02        7.82e+02        3.99e+01        2.75e+01
113      5.60- 5.65     9.33e+02        7.42e+02        4.01e+01        2.75e+01
114      5.65- 5.70     8.20e+02        7.40e+02        3.74e+01        2.58e+01
115      5.70- 5.75     8.96e+02        6.85e+02        3.93e+01        2.55e+01
116      5.75- 5.80     8.43e+02        6.64e+02        3.18e+01        1.97e+01
117      5.80- 5.85     8.29e+02        6.17e+02        3.46e+01        2.20e+01
118      5.85- 5.90     8.96e+02        5.46e+02        3.13e+01        1.83e+01
119      5.90- 5.95     7.26e+02        6.04e+02        3.16e+01        1.97e+01
120      5.95- 6.00     7.56e+02        5.81e+02        3.15e+01        1.99e+01
121      6.00- 6.05     7.35e+02        5.76e+02        3.22e+01        1.88e+01
122      6.05- 6.10     6.17e+02        5.19e+02        2.76e+01        1.75e+01
123      6.10- 6.15     6.17e+02        5.12e+02        2.94e+01        2.05e+01
124      6.15- 6.20     6.19e+02        5.01e+02        2.74e+01        1.84e+01
125      6.20- 6.25     5.92e+02        5.03e+02        2.83e+01        1.74e+01
126      6.25- 6.30     6.29e+02        4.34e+02        2.67e+01        1.80e+01
127      6.30- 6.35     5.65e+02        4.04e+02        2.47e+01        1.50e+01
128      6.35- 6.40     6.16e+02        4.16e+02        2.60e+01        1.71e+01
129      6.40- 6.45     5.19e+02        4.38e+02        2.56e+01        1.46e+01
130      6.45- 6.50     5.76e+02        3.72e+02        2.27e+01        1.33e+01
131      6.50- 6.55     5.59e+02        3.61e+02        2.48e+01        1.58e+01
132      6.55- 6.60     6.32e+02        3.35e+02        2.12e+01        1.32e+01
133      6.60- 6.65     5.30e+02        3.08e+02        2.42e+01        1.54e+01
134      6.65- 6.70     5.16e+02        3.21e+02        1.81e+01        9.96e+00
135      6.70- 6.75     4.98e+02        3.33e+02        2.10e+01        1.24e+01
136      6.75- 6.80     5.40e+02        3.15e+02        1.82e+01        1.12e+01
137      6.80- 6.85     4.86e+02        3.02e+02        1.98e+01        8.96e+00
138      6.85- 6.90     4.53e+02        3.59e+02        1.82e+01        1.01e+01
139      6.90- 6.95     4.44e+02        2.88e+02        1.81e+01        9.65e+00
140      6.95- 7.00     4.77e+02        2.92e+02        1.64e+01        8.12e+00
141      7.00- 7.05     5.60e+02        2.51e+02        1.61e+01        8.55e+00
142      7.05- 7.10     5.11e+02        2.40e+02        1.67e+01        8.76e+00
143      7.10- 7.15     4.55e+02        2.60e+02        1.54e+01        7.59e+00
144      7.15- 7.20     4.92e+02        2.46e+02        1.59e+01        8.33e+00
145      7.20- 7.25     4.36e+02        2.43e+02        1.55e+01        9.16e+00
146      7.25- 7.30     4.76e+02        1.97e+02        1.34e+01        6.67e+00
147      7.30- 7.35     4.40e+02        2.02e+02        1.24e+01        7.53e+00
148      7.35- 7.40     4.39e+02        1.92e+02        1.10e+01        4.31e+00
149      7.40- 7.45     3.86e+02        1.88e+02        1.44e+01        7.83e+00
150      7.45- 7.50     4.41e+02        1.87e+02        1.39e+01        6.74e+00
151      7.50- 7.55     3.55e+02        1.85e+02        1.14e+01        7.37e+00
152      7.55- 7.60     3.37e+02        1.62e+02        9.97e+00        4.54e+00
153      7.60- 7.65     3.43e+02        1.75e+02        1.10e+01        4.91e+00
154      7.65- 7.70     3.43e+02        1.57e+02        1.03e+01        4.93e+00
155      7.70- 7.75     3.73e+02        1.47e+02        9.66e+00        4.67e+00
156      7.75- 7.80     2.97e+02        1.66e+02        1.01e+01        5.33e+00
157      7.80- 7.85     3.24e+02        1.32e+02        9.79e+00        4.91e+00
158      7.85- 7.90     3.08e+02        1.33e+02        8.96e+00        3.52e+00
159      7.90- 7.95     3.50e+02        1.32e+02        9.88e+00        5.93e+00
160      7.95- 8.00     2.99e+02        1.53e+02        8.76e+00        5.12e+00
161      8.00- 8.05     3.51e+02        1.14e+02        7.70e+00        3.52e+00
162      8.05- 8.10     3.00e+02        1.25e+02        6.41e+00        3.29e+00
163      8.10- 8.15     3.26e+02        1.12e+02        7.43e+00        4.16e+00
164      8.15- 8.20     3.62e+02        1.04e+02        7.78e+00        4.31e+00
165      8.20- 8.25     3.01e+02        1.03e+02        6.84e+00        3.96e+00
166      8.25- 8.30     2.71e+02        1.03e+02        6.77e+00        3.88e+00
167      8.30- 8.35     2.77e+02        9.80e+01        6.64e+00        3.19e+00
168      8.35- 8.40     2.76e+02        9.16e+01        5.94e+00        2.69e+00
169      8.40- 8.45     2.41e+02        9.46e+01        7.66e+00        3.20e+00
170      8.45- 8.50     2.36e+02        8.80e+01        6.56e+00        2.77e+00
171      8.50- 8.55     2.97e+02        1.05e+02        6.70e+00        4.18e+00
172      8.55- 8.60     2.36e+02        8.80e+01        6.21e+00        2.19e+00
173      8.60- 8.65     2.54e+02        7.57e+01        5.69e+00        2.38e+00
174      8.65- 8.70     2.26e+02        7.72e+01        5.19e+00        2.21e+00
175      8.70- 8.75     2.44e+02        8.11e+01        6.73e+00        2.17e+00
176      8.75- 8.80     2.58e+02        7.31e+01        6.55e+00        2.41e+00
177      8.80- 8.85     2.49e+02        5.97e+01        5.26e+00        2.68e+00
178      8.85- 8.90     2.10e+02        6.70e+01        4.03e+00        1.50e+00
179      8.90- 8.95     2.19e+02        5.62e+01        4.71e+00        1.85e+00
180      8.95- 9.00     2.00e+02        6.90e+01        4.51e+00        1.47e+00
181      9.00- 9.05     2.07e+02        6.04e+01        5.55e+00        1.66e+00
