dm2    sintheta    -2ln(L)
0.114409 0.0003133 373.235
0.120122 0.0003133 373.218
0.126121 0.0003133 373.199
0.132419 0.0003133 373.178
0.139032 0.0003133 373.156
0.145975 0.0003133 373.131
0.153265 0.0003133 373.103
0.160919 0.0003133 373.073
0.168955 0.0003133 373.04
0.177392 0.0003133 373.004
0.186251 0.0003133 372.965
0.195552 0.0003133 372.922
0.205318 0.0003133 372.875
0.215571 0.0003133 372.823
0.226337 0.0003133 372.767
0.23764 0.0003133 372.706
0.249507 0.0003133 372.64
0.261967 0.0003133 372.567
0.27505 0.0003133 372.489
0.288785 0.0003133 372.404
0.303207 0.0003133 372.312
0.318349 0.0003133 372.213
0.334247 0.0003133 372.107
0.350939 0.0003133 371.993
0.368464 0.0003133 371.87
0.386865 0.0003133 371.739
0.406185 0.0003133 371.6
0.426469 0.0003133 371.453
0.447766 0.0003133 371.297
0.470127 0.0003133 371.134
0.493605 0.0003133 370.963
0.518255 0.0003133 370.785
0.544136 0.0003133 370.602
0.57131 0.0003133 370.413
0.59984 0.0003133 370.221
0.629796 0.0003133 370.028
0.661247 0.0003133 369.834
0.694269 0.0003133 369.642
0.72894 0.0003133 369.454
0.765342 0.0003133 369.273
0.803563 0.0003133 369.099
0.843692 0.0003133 368.936
0.885825 0.0003133 368.784
0.930062 0.0003133 368.644
0.976508 0.0003133 368.516
1.02527 0.0003133 368.399
1.07647 0.0003133 368.291
1.13023 0.0003133 368.188
1.18668 0.0003133 368.087
1.24594 0.0003133 367.98
1.30816 0.0003133 367.863
1.37349 0.0003133 367.729
1.44208 0.0003133 367.572
1.51409 0.0003133 367.389
1.5897 0.0003133 367.181
1.66909 0.0003133 366.948
1.75244 0.0003133 366.7
1.83996 0.0003133 366.446
1.93184 0.0003133 366.203
2.02832 0.0003133 365.988
2.12961 0.0003133 365.818
2.23596 0.0003133 365.708
2.34762 0.0003133 365.67
2.46486 0.0003133 365.711
2.58795 0.0003133 365.829
2.71719 0.0003133 366.021
2.85289 0.0003133 366.275
2.99535 0.0003133 366.575
3.14494 0.0003133 366.899
3.30199 0.0003133 367.223
3.46689 0.0003133 367.525
3.64003 0.0003133 367.796
3.8218 0.0003133 368.045
4.01266 0.0003133 368.294
4.21305 0.0003133 368.576
4.42344 0.0003133 368.917
4.64435 0.0003133 369.321
4.87628 0.0003133 369.743
5.11979 0.0003133 370.1
5.37547 0.0003133 370.307
5.64392 0.0003133 370.305
5.92577 0.0003133 370.062
6.22169 0.0003133 369.592
6.5324 0.0003133 368.967
6.85862 0.0003133 368.299
7.20113 0.0003133 367.675
7.56075 0.0003133 367.128
7.93832 0.0003133 366.737
8.33475 0.0003133 366.571
8.75098 0.0003133 366.678
9.188 0.0003133 367.162
9.64683 0.0003133 367.987
10.1286 0.0003133 368.82
10.6344 0.0003133 369.356
11.1655 0.0003133 369.421
11.7231 0.0003133 368.988
12.3085 0.0003133 368.418
12.9232 0.0003133 367.736
13.5685 0.0003133 367.392
14.2461 0.0003133 367.469
14.9576 0.0003133 367.824
