#Forward horn current NuMI nuebar flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax    nus     fe
  0.0    0.5   0.0158   0.269
  0.5    1.0   0.0208   0.172
  1.0    1.5   0.0215   0.152
  1.5    2.0   0.0197   0.157
  2.0    2.5   0.0182   0.148
  2.5    3.0   0.0158   0.146
  3.0    3.5   0.0143   0.151
  3.5    4.0   0.0134   0.179
  4.0    4.5   0.0126   0.143
  4.5    5.0   0.0122   0.143
  5.0    6.0   0.0210   0.140
  6.0    7.0   0.0174   0.135
  7.0    8.0   0.0148   0.139
  8.0    9.0   0.0126   0.160
  9.0   10.0   0.0100   0.159
 10.0   12.0   0.0149   0.172
 12.0   14.0   0.0092   0.182
 14.0   16.0   0.0059   0.262
 16.0   18.0   0.0043   0.281
 18.0   20.0   0.0025   0.366
