#Forward horn current NuMI numubar flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax    nus      fe
  0.0    0.5   1.4112   0.176
  0.5    1.0   1.7174   0.161
  1.0    1.5   1.4720   0.148
  1.5    2.0   1.1831   0.138
  2.0    2.5   0.8849   0.133
  2.5    3.0   0.6416   0.134
  3.0    3.5   0.4784   0.133
  3.5    4.0   0.3571   0.139
  4.0    4.5   0.2748   0.142
  4.5    5.0   0.2126   0.152
  5.0    6.0   0.3223   0.153
  6.0    7.0   0.2241   0.160
  7.0    8.0   0.1657   0.169
  8.0    9.0   0.1295   0.181
  9.0   10.0   0.1018   0.158
 10.0   12.0   0.1518   0.155
 12.0   14.0   0.1042   0.190
 14.0   16.0   0.0751   0.211
 16.0   18.0   0.0536   0.257
 18.0   20.0   0.0377   0.282
