#Reverse horn current NuMI numubar flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax     nus      fe
  0.0    0.6    4.1264   0.121
  0.6    0.8    2.7447   0.098
  0.8    1.0    3.2178   0.093
  1.0    1.2    4.1810   0.091
  1.2    1.4    6.4002   0.088
  1.4    1.6    9.3366   0.086
  1.6    1.8   11.6088   0.086
  1.8    2.0   12.4298   0.085
  2.0    2.2   11.1057   0.088
  2.2    2.4    8.4364   0.091
  2.4    2.6    5.8844   0.093
  2.6    2.8    3.9453   0.101
  2.8    3.0    2.5874   0.108
  3.0    3.2    1.6575   0.129
  3.2    3.4    1.0420   0.141
  3.4    3.6    0.6730   0.143
  3.6    3.8    0.4782   0.149
  3.8    4.0    0.3711   0.156
  4.0    4.2    0.3072   0.149
  4.2    4.4    0.2601   0.135
  4.4    4.6    0.2302   0.137
  4.6    4.8    0.2008   0.130
  4.8    5.0    0.1810   0.125
  5.0    6.0    0.7217   0.128
  6.0    7.0    0.5392   0.115
  7.0    8.0    0.4496   0.101
  8.0    9.0    0.4125   0.096
  9.0   10.0    0.4030   0.092
 10.0   11.0    0.4090   0.090
 11.0   12.0    0.4144   0.087
 12.0   13.0    0.3945   0.092
 13.0   14.0    0.3245   0.102
 14.0   15.0    0.2453   0.119
 15.0   16.0    0.1754   0.123
 16.0   17.0    0.1295   0.118
 17.0   18.0    0.0966   0.140
 18.0   19.0    0.0739   0.145
 19.0   20.0    0.0583   0.148
