#Forward horn current NuMI numu flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax     nus      fe
  0.0    0.6    4.6503   0.130
  0.6    0.8    3.2331   0.106
  0.8    1.0    3.8892   0.101
  1.0    1.2    5.0728   0.097
  1.2    1.4    7.6006   0.093
  1.4    1.6   10.9855   0.090
  1.6    1.8   13.7082   0.089
  1.8    2.0   14.6780   0.089
  2.0    2.2   13.1287   0.091
  2.2    2.4   10.0955   0.092
  2.4    2.6    7.0781   0.094
  2.6    2.8    4.8025   0.103
  2.8    3.0    3.1851   0.109
  3.0    3.2    2.0563   0.122
  3.2    3.4    1.3191   0.140
  3.4    3.6    0.8790   0.146
  3.6    3.8    0.6365   0.150
  3.8    4.0    0.4992   0.150
  4.0    4.2    0.4183   0.152
  4.2    4.4    0.3677   0.150
  4.4    4.6    0.3278   0.140
  4.6    4.8    0.2950   0.132
  4.8    5.0    0.2753   0.139
  5.0    6.0    1.0922   0.130
  6.0    7.0    0.8626   0.114
  7.0    8.0    0.7567   0.101
  8.0    9.0    0.7231   0.090
  9.0   10.0    0.7387   0.089
 10.0   11.0    0.7761   0.083
 11.0   12.0    0.8246   0.080
 12.0   13.0    0.8153   0.083
 13.0   14.0    0.7144   0.089
 14.0   15.0    0.5692   0.101
 15.0   16.0    0.4357   0.104
 16.0   17.0    0.3296   0.104
 17.0   18.0    0.2644   0.105
 18.0   19.0    0.2173   0.110
 19.0   20.0    0.1822   0.123
