#Reverse horn current NuMI nue flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax    nus      fe
  0.0    0.5   0.0152   0.219
  0.5    1.0   0.0253   0.170
  1.0    1.5   0.0247   0.142
  1.5    2.0   0.0223   0.139
  2.0    2.5   0.0199   0.132
  2.5    3.0   0.0197   0.145
  3.0    3.5   0.0177   0.159
  3.5    4.0   0.0163   0.152
  4.0    4.5   0.0149   0.129
  4.5    5.0   0.0141   0.132
  5.0    6.0   0.0256   0.128
  6.0    7.0   0.0232   0.127
  7.0    8.0   0.0188   0.125
  8.0    9.0   0.0163   0.138
  9.0   10.0   0.0141   0.138
 10.0   12.0   0.0211   0.133
 12.0   14.0   0.0146   0.190
 14.0   16.0   0.0102   0.260
 16.0   18.0   0.0077   0.268
 18.0   20.0   0.0053   0.310
