#Reverse horn current NuMI numu flux at the NOvA near detector
#emin: Minimum Energy (GeV), emax: Maximum Energy (GeV)
#nus: Neutrinos/m2/1M POTs
#fe: Fractional Uncertainty
#emin    emax    nus      fe
  0.0    0.5   1.3046   0.187
  0.5    1.0   1.6594   0.173
  1.0    1.5   1.4325   0.156
  1.5    2.0   1.1800   0.144
  2.0    2.5   0.9084   0.139
  2.5    3.0   0.6828   0.136
  3.0    3.5   0.5330   0.138
  3.5    4.0   0.4407   0.143
  4.0    4.5   0.3413   0.140
  4.5    5.0   0.2854   0.157
  5.0    6.0   0.4517   0.158
  6.0    7.0   0.3504   0.166
  7.0    8.0   0.2768   0.170
  8.0    9.0   0.2257   0.150
  9.0   10.0   0.1883   0.149
 10.0   12.0   0.3035   0.130
 12.0   14.0   0.2338   0.138
 14.0   16.0   0.1826   0.159
 16.0   18.0   0.1419   0.158
 18.0   20.0   0.1122   0.176
